res1=0.539078 ; res2=0.324942
res1=-0.100326 ; res2=-0.555314
res1=0.982127 ; res2=0.0747915
res1=0.836031 ; res2=0.426634
res1=1.02154 ; res2=-0.0733236
res1=0.888815 ; res2=-0.204048
res1=0.989308 ; res2=-0.678
res1=0.96568 ; res2=0.696513
res1=0.841839 ; res2=0.648893
res1=0.564347 ; res2=0.642788
res1=0.617474 ; res2=0.815052
res1=0.0771599 ; res2=0.301016
res1=0.333461 ; res2=0.466608
res1=0.888644 ; res2=0.390904
res1=-0.213698 ; res2=0.513508
res1=0.549665 ; res2=0.442227
res1=0.719319 ; res2=0.265961
res1=0.863161 ; res2=0.648396
res1=0.919957 ; res2=0.235606
res1=1.09398 ; res2=0.878186
res1=1.0315 ; res2=0.836262
res1=0.886554 ; res2=0.871633
res1=0.576137 ; res2=0.0555876
res1=1.03155 ; res2=0.603153
res1=0.845364 ; res2=0.574371
res1=1.08877 ; res2=0.708711
res1=1.00934 ; res2=0.691604
res1=1.06749 ; res2=0.718041
res1=1.1006 ; res2=0.844918
res1=0.565625 ; res2=0.47294
res1=0.390651 ; res2=0.806513
res1=0.761021 ; res2=0.52898
res1=0.0903658 ; res2=0.768671
res1=0.965955 ; res2=0.485564
res1=1.07905 ; res2=0.705854
res1=0.122498 ; res2=0.630115
res1=1.02261 ; res2=0.734951
res1=0.618433 ; res2=0.493485
res1=0.255899 ; res2=0.766179
res1=0.489879 ; res2=0.843732
res1=0.791056 ; res2=0.805531
res1=0.434154 ; res2=0.112085
res1=0.3822 ; res2=-0.270049
res1=0.627309 ; res2=-0.0659662
res1=0.737743 ; res2=0.216814
res1=0.59607 ; res2=0.858484
res1=0.680594 ; res2=0.417442
res1=0.960126 ; res2=0.424931
res1=0.95262 ; res2=0.440106
res1=0.959881 ; res2=0.0095874
res1=0.108661 ; res2=-0.10467
res1=0.054822 ; res2=-0.119505
res1=1.02512 ; res2=0.337851
res1=0.915975 ; res2=0.396231
res1=1.00731 ; res2=0.632262
res1=0.909936 ; res2=0.762702
res1=0.499951 ; res2=0.448639
res1=0.0882602 ; res2=-0.0261924
res1=0.201023 ; res2=-0.416185
res1=0.534917 ; res2=-0.0102478
res1=0.610634 ; res2=-0.108691
res1=0.822395 ; res2=-0.0210511
res1=0.844495 ; res2=0.207257
res1=0.681165 ; res2=0.889143
res1=0.9492 ; res2=0.483865
res1=1.04136 ; res2=0.665958
res1=0.457493 ; res2=0.498405
res1=0.312218 ; res2=-0.080078
res1=0.591774 ; res2=0.0114324
res1=0.474209 ; res2=-0.0685892
res1=0.507151 ; res2=0.0793228
res1=0.642265 ; res2=0.153735
